Constituents as published by NOAA/NOS for comparison.

No Name                     Ampl  Epoch    Speed
  1 M2                       0.662  28.1  28.9841042
  2 S2                       0.111  51.5  30.0000000
  3 N2                       0.149  10.1  28.4397295
  4 K1                       0.082 203.9  15.0410686
  5 M4                       0.024 170.5  57.9682084
  6 O1                       0.060 212.2  13.9430356
  7 M6                       0.010 212.2  86.9523127
  8 MK3                      0.009  38.3  44.0251729
  9 S4                       0.000   0.0  60.0000000
 10 MN4                      0.009 171.4  57.4238337
 11 NU2                      0.033   6.6  28.5125831
 12 S6                       0.000   0.0  90.0000000
 13 MU2                      0.017  28.6  27.9682084
 14 2N2                      0.018   5.6  27.8953548
 15 OO1                      0.003 195.5  16.1391017
 16 LAM2                     0.011  34.1  29.4556253
 17 S1                       0.009 164.2  15.0000000
 18 M1                       0.004 208.0  14.4966939
 19 J1                       0.005 199.8  15.5854433
 20 MM                       0.025 230.4   0.5443747
 21 SSA                      0.077  55.4   0.0821373
 22 SA                       0.115 190.2   0.0410686
 23 MSF                      0.039 202.7   1.0158958
 24 MF                       0.000   0.0   1.0980331
 25 RHO                      0.002 215.8  13.4715145
 26 Q1                       0.012 201.0  13.3986609
 27 T2                       0.006  51.4  29.9589333
 28 R2                       0.001  51.4  30.0410667
 29 2Q1                      0.002 220.5  12.8542862
 30 P1                       0.028 196.3  14.9589314
 31 2SM2                     0.000   0.0  31.0158958
 32 M3                       0.000   0.0  43.4761563
 33 L2                       0.038  28.9  29.5284789
 34 2MK3                     0.000   0.0  42.9271398
 35 K2                       0.032  50.0  30.0821373
 36 M8                       0.000   0.0 115.9364166
 37 MS4                      0.012 180.9  58.9841042
