loading binary db...
loading text db...
2MK3 0.00102976977927 73.2174991818
2Q1 0.00254347607596 152.943203127
2SM2 0.00848510797035 11.0592506612
J1 0.00316548078374 43.8053127738
K1 0.0719346301812 216.994120257
KJ2 0.00796635756111 6.96861161888
KQ1 0.00285055410711 196.185863544
L2 0.0409688533374 39.7701838408
M1 0.00347743546404 333.258249356
M2 0.651362444543 24.8746662478
M3 0.00809686149234 340.677633563
M4 0.0243155434821 163.967161474
M6 0.00771903592878 180.937074546
MK3 0.0117180996836 32.8415413236
MN4 0.0102293192895 149.774629992
MNS2 0.0163978555553 8.84118846132
MS4 0.0133416201565 187.478747074
MSf 0.0398981502597 76.1714858848
MU2 0.0108799337311 121.057110967
Mm 0.0474075607685 110.678323126
N2 0.140690780242 2.73502579002
O1 0.054635298586 213.689389327
OO1 0.0136619640873 48.6581728409
Q1 0.0178368701806 185.531700857
S2 0.117959144204 54.4963074695
S4 0.00481334040763 321.555052767
SK3 0.00570362742016 312.172652082
