Constituents as published by NOAA/NOS for comparison.

 No Name                     Ampl  Epoch    Speed
  1 M2                       0.514   7.3  28.9841042
  2 S2                       0.080  27.0  30.0000000
  3 N2                       0.122 345.4  28.4397295
  4 K1                       0.099 200.0  15.0410686
  5 M4                       0.004 133.2  57.9682084
  6 O1                       0.076 206.6  13.9430356
  7 M6                       0.008 307.2  86.9523127
  8 MK3                      0.000   0.0  44.0251729
  9 S4                       0.004 204.0  60.0000000
 10 MN4                      0.000   0.0  57.4238337
 11 NU2                      0.024 346.3  28.5125831
 12 S6                       0.000   0.0  90.0000000
 13 MU2                      0.016 350.3  27.9682084
 14 2N2                      0.017 326.4  27.8953548
 15 OO1                      0.005 217.2  16.1391017
 16 LAM2                     0.005  27.2  29.4556253
 17 S1                       0.006 174.1  15.0000000
 18 M1                       0.003 218.0  14.4966939
 19 J1                       0.005 211.0  15.5854433
 20 MM                       0.000   0.0   0.5443747
 21 SSA                      0.062  49.2   0.0821373
 22 SA                       0.097 195.3   0.0410686
 23 MSF                      0.000   0.0   1.0158958
 24 MF                       0.000   0.0   1.0980331
 25 RHO                      0.003 209.3  13.4715145
 26 Q1                       0.016 198.7  13.3986609
 27 T2                       0.009  12.5  29.9589333
 28 R2                       0.003 231.5  30.0410667
 29 2Q1                      0.002 213.0  12.8542862
 30 P1                       0.033 201.6  14.9589314
 31 2SM2                     0.000   0.0  31.0158958
 32 M3                       0.003  49.2  43.4761563
 33 L2                       0.013  41.3  29.5284789
 34 2MK3                     0.000   0.0  42.9271398
 35 K2                       0.021  28.8  30.0821373
 36 M8                       0.000   0.0 115.9364166
 37 MS4                      0.005  91.3  58.9841042
