loading binary db...
loading text db...
2MK3 0.00200666094825 238.398370654
2Q1 0.000542329171197 229.55380447
2SM2 0.00183196647106 22.828786879
J1 0.00833321853416 64.0982005903
K1 0.0910646367115 214.803139539
KJ2 0.00137778133505 269.656752029
KQ1 0.00251592972666 259.200035873
L2 0.01442346059 51.7098203862
M1 0.00583464653686 311.699530887
M2 0.501958172969 5.51719970725
M3 0.00332062369693 246.2879438
M4 0.00293184421793 129.755243498
M6 0.00564719198998 311.683817064
MK3 0.00341517135595 160.296318058
MN4 0.0029868990149 105.712573639
MNS2 0.00709550576616 5.53131287472
MS4 0.00494478546239 95.3911478355
MSf 0.0385429995059 81.212916848
MU2 0.0197879033399 26.2779691112
Mm 0.0358821723577 121.957360904
N2 0.114126949955 334.883150708
O1 0.0743557616218 204.469034416
OO1 0.00861567139168 33.2753051418
Q1 0.013719428325 198.923114089
S2 0.0905097358137 36.238442611
S4 0.00615117723253 232.352182968
SK3 0.00322082609363 163.053589006
